wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
550,9.0,1.0989936680885812,0.5494968340442906,10_plates,Rough000,3920.056064914367,0.99999999,0.8738,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,9.0,1.0989936680885812,0.5494968340442906,10_plates,Rough000,3899.9163454127306,0.9999999749999999,0.8731,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,9.0,1.0989936680885812,0.5494968340442906,10_plates,Rough000,3844.7507290929666,0.99999997,0.8719,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,9.0,1.0989936680885812,0.5494968340442906,10_plates,Rough000,3499.541835503704,0.99999989,0.8702,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,9.0,1.0989936680885812,0.5494968340442906,10_plates,Rough000,3332.37943982377,0.99999978,0.8689,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3619.4891300869454,0.99999999,0.8751,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3657.5804056812312,0.99999998,0.8747499999999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3657.742227159251,0.99999997,0.8751,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3459.56905443384,0.99999991,0.8734,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3301.9116663512905,0.99999982,0.8713,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,10.0,1.2211041131746874,0.6105520565873437,10_plates,Rough000,3073.106679127234,0.99999954,0.8698,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,3070.134792683141,0.99999999,0.8773,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,3068.5728401997726,0.99999998,0.87725,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,3061.5767934060013,0.99999997,0.8765,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,2960.099178600634,0.99999993,0.8764,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,2970.4218894759633,0.99999986,0.8762,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
