wavelength_nm,gas,sigma_cm2_molecule,temperature_k,pressure_hpa,spectroscopy_source,source_table,band_half_width_nm,wavenumber_step_cm-1
600.0,H2O,2.230451614904873e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557604102048844e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009339327899848e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.154682017224343e-26,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.6217372332296274e-26,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230386846640639e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557228920671113e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009272972412022e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.153366056398099e-26,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.6217023080164407e-26,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230358557986908e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557001936062165e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009189923851197e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.152568826816569e-26,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.621692942859114e-26,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230352044107418e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8556963239322915e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009172695741511e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.152245060060301e-26,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,O2,1.709840472064205e-29,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.382653439737141e-34,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,2.011546675434262e-26,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.690572403563172e-25,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6967001354705629e-29,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.347473980180574e-34,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9986556889863325e-26,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.67450459369862e-25,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966913764679312e-29,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.330605705353967e-34,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9996026417495268e-26,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6752265421079966e-25,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966795780753164e-29,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.343261392370553e-34,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,2.000417051308461e-26,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6760574318536843e-25,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966817879709364e-29,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.349316097057144e-34,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,2.001368059008616e-26,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6769801229378017e-25,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.696678284532793e-29,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,6.3529701192619815e-34,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,2.0018235387081826e-26,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6774650286369327e-25,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7131786223825378e-29,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.7289445338423533e-33,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9619255554516784e-26,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.678677758995099e-25,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.699190434739236e-29,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.7159644056920834e-33,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9473527754892166e-26,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6594162772812927e-25,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6987039331574477e-29,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.7036245290004915e-33,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.948165648780029e-26,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6600722125916552e-25,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.698696168150113e-29,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.709124113338247e-33,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.948801319346877e-26,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.660760778694039e-25,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.698705736009548e-29,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.711792515261989e-33,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9496128704399544e-26,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6614058891353025e-25,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6987038144263918e-29,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,2.7131406783447098e-33,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9500198155436146e-26,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6618425367897874e-25,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7149367009466247e-29,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,8.435329979321782e-33,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.921111192581797e-26,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.668475309852607e-25,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7021490501039514e-29,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,8.401699012556205e-33,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9057350387195417e-26,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6475305023815147e-25,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.699433608642843e-29,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,8.367825016895619e-33,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9059835466736382e-26,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6475594970219976e-25,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6994206986769643e-29,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
650.0,O2,8.368515603658275e-33,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
700.0,O2,1.9065688643812535e-26,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
750.0,O2,2.6480479705281055e-25,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
